endpoint,pipeline_a,pipeline_b,n_paired,accuracy_a,accuracy_b,risk_difference_b_minus_a,discordant_a_correct_b_wrong,discordant_a_wrong_b_correct,mcnemar_raw_p,effect_threshold_met,holm_adjusted_p,statistical_terminal
correct_downstream_localization,B2_VERIFY_ONLY_NO_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,0.0,0.23076923076923078,0.23076923076923078,0,3,0.25,True,1.0,NOT_SIGNIFICANT
correct_downstream_localization,B3_FULL_VERIFY_OR_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,1.0,0.23076923076923078,-0.7692307692307692,10,0,0.001953125,True,0.0703125,NOT_SIGNIFICANT
false_semantic_promotion,B0_CRYPTO_CUSTODY_ONLY,B1_STRUCTURAL_LATTICE,13,0.8461538461538461,1.0,0.15384615384615385,0,2,0.5,True,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B0_CRYPTO_CUSTODY_ONLY,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.8461538461538461,0.7692307692307693,-0.07692307692307687,1,0,1.0,False,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B0_CRYPTO_CUSTODY_ONLY,B3_FULL_VERIFY_OR_ABSTAIN,13,0.8461538461538461,1.0,0.15384615384615385,0,2,0.5,True,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B0_CRYPTO_CUSTODY_ONLY,B4_ANTIGENCE_TRAINED_AIS,13,0.8461538461538461,0.7692307692307693,-0.07692307692307687,1,0,1.0,False,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B1_STRUCTURAL_LATTICE,B2_VERIFY_ONLY_NO_ABSTAIN,13,1.0,0.7692307692307693,-0.23076923076923073,3,0,0.25,True,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B1_STRUCTURAL_LATTICE,B3_FULL_VERIFY_OR_ABSTAIN,13,1.0,1.0,0.0,0,0,1.0,False,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B1_STRUCTURAL_LATTICE,B4_ANTIGENCE_TRAINED_AIS,13,1.0,0.7692307692307693,-0.23076923076923073,3,0,0.25,True,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B2_VERIFY_ONLY_NO_ABSTAIN,B3_FULL_VERIFY_OR_ABSTAIN,13,0.7692307692307693,1.0,0.23076923076923073,0,3,0.25,True,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B2_VERIFY_ONLY_NO_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,0.7692307692307693,0.7692307692307693,0.0,0,0,1.0,False,1.0,NOT_SIGNIFICANT
false_semantic_promotion,B3_FULL_VERIFY_OR_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,1.0,0.7692307692307693,-0.23076923076923073,3,0,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B0_CRYPTO_CUSTODY_ONLY,B1_STRUCTURAL_LATTICE,13,0.7692307692307693,0.7692307692307693,0.0,0,0,1.0,False,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B0_CRYPTO_CUSTODY_ONLY,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.7692307692307693,0.5384615384615384,-0.23076923076923084,3,0,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B0_CRYPTO_CUSTODY_ONLY,B3_FULL_VERIFY_OR_ABSTAIN,13,0.7692307692307693,1.0,0.23076923076923073,0,3,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B0_CRYPTO_CUSTODY_ONLY,B4_ANTIGENCE_TRAINED_AIS,13,0.7692307692307693,1.0,0.23076923076923073,0,3,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B1_STRUCTURAL_LATTICE,B2_VERIFY_ONLY_NO_ABSTAIN,13,0.7692307692307693,0.5384615384615384,-0.23076923076923084,3,0,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B1_STRUCTURAL_LATTICE,B3_FULL_VERIFY_OR_ABSTAIN,13,0.7692307692307693,1.0,0.23076923076923073,0,3,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B1_STRUCTURAL_LATTICE,B4_ANTIGENCE_TRAINED_AIS,13,0.7692307692307693,1.0,0.23076923076923073,0,3,0.25,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B2_VERIFY_ONLY_NO_ABSTAIN,B3_FULL_VERIFY_OR_ABSTAIN,13,0.5384615384615384,1.0,0.46153846153846156,0,6,0.03125,True,1.0,NOT_SIGNIFICANT
false_claim_acceptance,B2_VERIFY_ONLY_NO_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,0.5384615384615384,1.0,0.46153846153846156,0,6,0.03125,True,0.9375,NOT_SIGNIFICANT
false_claim_acceptance,B3_FULL_VERIFY_OR_ABSTAIN,B4_ANTIGENCE_TRAINED_AIS,13,1.0,1.0,0.0,0,0,1.0,False,1.0,NOT_SIGNIFICANT
