subject,predicate,object,method,value,source,source_version_date,evidence_status,fco_parent_ids
desonide|PLA2G1B|BRD-K21528677-001-04-4,TARGET_SIMILAR,NR3C1|PLA2G1B,CPJUMP1 target_list extraction,2,JUMP-Target-1 compound metadata,2026-08-13,metadata_present,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,MECHANISM_SIMILAR,teriflunomide,curated tiny public-mechanism map from CPJUMP1 target_list,focal adhesion / tyrosine kinase signaling|pyrimidine biosynthesis / immunomodulation,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,CLINICALLY_ADJACENT,teriflunomide,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,MECHANISM_SIMILAR,methotrexate,curated tiny public-mechanism map from CPJUMP1 target_list,focal adhesion / tyrosine kinase signaling|pyrimidine biosynthesis / immunomodulation,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,CLINICALLY_ADJACENT,methotrexate,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,MECHANISM_SIMILAR,azathioprine,curated tiny public-mechanism map from CPJUMP1 target_list,focal adhesion / tyrosine kinase signaling|pyrimidine biosynthesis / immunomodulation,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,CLINICALLY_ADJACENT,azathioprine,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,PHENOTYPE_SIMILAR,COMT ORF shifted state,CPJUMP1 morphology reference-distance ranking,0.4912703124073587,candidate_ranking.csv,2026-08-13,computed,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,STRUCTURALLY_SIMILAR,not_computed,not run; no RDKit/fingerprint dependency installed unattended,,PubChem PUG REST name lookup,2026-08-13T15:18:34Z,not_computed,[]
leflunomide|PTK2B|BRD-K78692225-001-24-5,TARGET_SIMILAR,AHR|DHODH|PTK2B,CPJUMP1 target_list extraction,3,JUMP-Target-1 compound metadata,2026-08-13,metadata_present,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,MECHANISM_SIMILAR,sirtinol,curated tiny public-mechanism map from CPJUMP1 target_list,sirtuin deacetylase biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,CLINICALLY_ADJACENT,sirtinol,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,MECHANISM_SIMILAR,nicotinamide,curated tiny public-mechanism map from CPJUMP1 target_list,sirtuin deacetylase biology,CPJUMP1 target_list plus local hackday mechanism map,2026-08-13,bounded_local_map,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,CLINICALLY_ADJACENT,nicotinamide,same or adjacent drug class comparator list,,tiny comparator map for Problem #2 clinical-progress lookup,2026-08-13,requires_trial_lookup,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,PHENOTYPE_SIMILAR,COMT ORF shifted state,CPJUMP1 morphology reference-distance ranking,0.4867424170670386,candidate_ranking.csv,2026-08-13,computed,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,STRUCTURALLY_SIMILAR,not_computed,not run; no RDKit/fingerprint dependency installed unattended,,PubChem PUG REST name lookup,2026-08-13T15:18:34Z,not_computed,[]
SirReal-2|SIRT2|BRD-K16472653-001-01-6,TARGET_SIMILAR,SIRT2,CPJUMP1 target_list extraction,1,JUMP-Target-1 compound metadata,2026-08-13,metadata_present,[]
