drug,disease_indication,nct_id,intervention_name,phase,recruitment_status,study_type,target_mechanism_relationship,comparator_relationship,retrieval_timestamp,source,trial_exists,trial_progressed_to_phase,trial_completed,trial_outcome_known,approval_exists,retrieval_status
hydrocortisone,"Stress, Psychological",NCT03892538,,,COMPLETED,OBSERVATIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,False,True,not_checked,not_checked,ok
hydrocortisone,Psoriasis,NCT01313221,etanercept; Topical agents,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
hydrocortisone,Chronic Kidney Disease; Hemodialysis; Stress,NCT06759376,Vibration massage; Static stretching exercise; Usual Care,NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=hydrocortisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
dexamethasone,Otitis Media; Otorrhea,NCT00956748,Ciprodex; Ciprodex and 2% NAC,PHASE4,WITHDRAWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
dexamethasone,Small Cell Lung Cancer Extensive Stage,NCT07227597,Gocatamig; I-DXd; Atezolizumab,PHASE1; PHASE2,RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
dexamethasone,T Acute Lymphoblastic Leukemia; T Lymphoblastic Lymphoma,NCT06210750,Dexamethasone,PHASE2,WITHDRAWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
dexamethasone,Post Operative Pain,NCT05105997,Dexamethasone/ Erector Spinae Plane Block,PHASE2,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
dexamethasone,Multiple Myeloma,NCT01038388,Dexamethasone,PHASE1,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
dexamethasone,Prevention of Hypersensitivity Reactions to Paclitaxel,NCT01797991,Dexamethasone per os; Matching placebo for dexamethasone IV; Dexamethasone IV; Matching placebo for dexamethasone per os,NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
dexamethasone,Preterm Birth,NCT01084096,Increasing use of Antenatal Corticosteroids (ACS),NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
dexamethasone,"Oral Health; Molar, Third",NCT01896427,"21-benzyloxy-9alpha-fluoro-16alpha-methylpregna-1,4-dien-11beta,17alpha-diol-3,20-dione",PHASE4,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
dexamethasone,Neurocysticercosis,NCT00290823,Dexamethasone,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
dexamethasone,Pharmacological Action,NCT05553496,Dexamethasone,PHASE2; PHASE3,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:35Z,https://clinicaltrials.gov/api/v2/studies?query.intr=dexamethasone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
budesonide,Asthma,NCT00554970,Budesonide inhalation suspension 0.25mg; Budesonide inhalation suspension 0.5mg,PHASE2,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
budesonide,Asthma Chronic; Asthma in Children,NCT03879590,Budesonide,PHASE3,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
budesonide,"Pulmonary Disease, Chronic Obstructive",NCT01253473,Budesonide; budesonide/formoterol,PHASE4,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
budesonide,Asthma,NCT01978678,Pulmicort,,COMPLETED,OBSERVATIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,False,True,not_checked,not_checked,ok
budesonide,Eustachian Tube Dysfunction,NCT07193485,Buteyko breathing; usual care,NA,RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
budesonide,Asthma; Pediatric ALL,NCT03369847,"budesonide, beclomethasone",PHASE4,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
budesonide,COPD Bronchitis; Pollution Related Respiratory Disorder,NCT06571942,Budesonide / Formoterol / Glycopyrronyum 160/4.8/7.2 mcg,PHASE4,RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
budesonide,"Asthma; Bronchial Diseases; Respiratory Tract Infections; Lung Diseases, Obstructive; Lung Diseases; Respiratory Hypersensitivity; Immune System Diseases",NCT06272370,Asthma Symptom Monitoring online tools; Inhaled Steroids; Azithromycin Pill,PHASE4,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
budesonide,"Asthma in Children; Nonadherence, Medication",NCT05689983,Symptom-driven budesonide/formoterol combination,PHASE1; PHASE2,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
budesonide,Asthma,NCT02062463,Budesonide and formoterol fumarate dehydrate (BF) SPIROMAX; SYMBICORT TURBOHALER budesonide and formoterol fumarate,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=budesonide&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
prednisone,Pemphigus,NCT02613910,Prednisone/Prednisolone,PHASE3,TERMINATED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
prednisone,"Rejection; Transplant, Kidney; Rejection; Transplant, Pancreas",NCT06474273,Prednisone,PHASE3,RECRUITING,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
prednisone,Congenital Adrenal Hyperplasia,NCT04536662,Prednisone,PHASE4,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
prednisone,CD20-positive B-cell Non-Hodgkin Lymphoma,NCT01569750,"Part 1, Cohort 1; Part 1, Cohort 2; Part 1, Cohort 3",PHASE1,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
prednisone,Thrombocytopenia; Hepatitis B; Cirrhosis,NCT01987791,,,UNKNOWN,OBSERVATIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,False,False,not_checked,not_checked,ok
prednisone,T-cell Lymphoma,NCT05075460,"Tucidinostat, Azacitidine combined with CHOP",PHASE3,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
prednisone,Diffuse Large B-Cell Lymphoma,NCT04361279,SIBP-02; Rituximab,PHASE3,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
prednisone,Childhood Acute Lymphoblastic Leukemia,NCT01953770,PEG-L-asparaginase ind; PEG-L-asparaginase cons; E.coli L-asparaginase,NA,UNKNOWN,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,False,not_checked,not_checked,ok
prednisone,Proteinuria; Focal Segmental Glomerulosclerosis,NCT00801463,tripterygium wilfordii (TW),NA,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
prednisone,Lymphoma,NCT00726700,prednisone,PHASE2,COMPLETED,INTERVENTIONAL,not inferred from trial record,trial_exists_for_candidate_or_related_drug,2026-08-13T15:18:36Z,https://clinicaltrials.gov/api/v2/studies?query.intr=prednisone&pageSize=10&format=json,True,True,True,not_checked,not_checked,ok
